time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
6.25000000,1122.96886444,0.00000000,1122.96892548,640,0.60372134
6.26666667,1066.58760834,0.00000000,1066.58753967,640,0.60372152
6.28333333,959.02665329,0.00000000,959.02653122,640,0.60372097
6.30000000,793.87582016,0.00000000,793.87585831,640,0.60372115
6.31666667,596.13126755,0.00000000,596.13127136,640,0.60372124
6.33333333,376.38678360,0.00000000,376.38681221,640,0.60372124
6.35000000,251.51632404,0.00000000,251.51633072,640,0.60372161
6.36666667,424.62675476,0.00000000,424.62675095,640,0.60372124
6.38333333,643.29017639,0.00000000,643.29018402,640,0.60372143
6.40000000,835.34408188,0.00000000,835.34415436,641,0.60372101
6.41666667,992.64355087,0.00000000,992.64358139,641,0.60372129
6.43333333,1096.87788391,0.00000000,1096.87781525,640,0.60372087
6.45000000,1135.20486450,0.00000000,1135.20497131,641,0.60372138
6.46666667,1109.77877808,0.00000000,1109.77885437,641,0.60372134
6.48333333,1020.68664551,0.00000000,1020.68666077,641,0.60372106
6.50000000,877.54069138,0.00000000,877.54064941,640,0.60372115
6.51666667,696.58166885,0.00000000,696.58167267,641,0.60372143
6.53333333,483.23232651,0.00000000,483.23230171,640,0.60372115
6.55000000,277.68169785,0.00000000,277.68168926,641,0.60372147
6.56666667,316.63942146,0.00000000,316.63940716,640,0.60372129
6.58333333,536.36599159,0.00000000,536.36597443,640,0.60372087
6.60000000,742.24590683,0.00000000,742.24590683,640,0.60372157
6.61666667,914.65795517,0.00000000,914.65791702,640,0.60372120
6.63333333,1043.45595551,0.00000000,1043.45589828,640,0.60372106
6.65000000,1111.14998627,0.00000000,1111.14994049,640,0.60372092
6.66666667,1122.74947357,0.00000000,1122.74951172,640,0.60372115
6.68333333,1067.97614288,0.00000000,1067.97609711,640,0.60372106
6.70000000,957.28248596,0.00000000,957.28244400,640,0.60372097
6.71666667,794.65300751,0.00000000,794.65295029,640,0.60372129
6.73333333,595.30758095,0.00000000,595.30754662,640,0.60372157
6.75000000,377.86089897,0.00000000,377.86088753,640,0.60372115
6.76666667,251.57421684,0.00000000,251.57419777,640,0.60372161
